version,case,theta_opt,beta_opt,theta_over_pi,beta_over_pi,r,P_valid,is_selected_r
V5,06_2d_tiny_corner_block,2.4122943590064483,0.9957726714503362,0.7678571428571429,0.3169642857142857,55,0.9630389364089394,0
V5,06_2d_tiny_corner_block,2.4122943590064483,0.9957726714503362,0.7678571428571429,0.3169642857142857,56,0.6465407037868351,0
V5,06_2d_tiny_corner_block,2.4122943590064483,0.9957726714503362,0.7678571428571429,0.3169642857142857,57,0.46974180298131246,0
V5,06_2d_tiny_corner_block,2.4122943590064483,0.9957726714503362,0.7678571428571429,0.3169642857142857,58,0.3806245522202716,0
V5,06_2d_tiny_corner_block,2.4122943590064483,0.9957726714503362,0.7678571428571429,0.3169642857142857,59,0.106462466361221,0
V5,06_2d_tiny_corner_block,2.4122943590064483,0.9957726714503362,0.7678571428571429,0.3169642857142857,60,0.0743330555880824,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,1,0.039101971367648466,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,2,0.11986851617352957,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,3,0.29886751124126276,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,4,0.08126135632817166,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,5,0.19257782893655268,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,6,0.01653303671477074,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,7,0.06664045274015284,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,8,0.18300741792324962,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,9,0.36225375613512095,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,10,0.45141733504007364,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,11,0.3835532772713899,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,12,0.24876040091051257,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,13,0.1477283344246569,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,14,0.06430452138237785,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,15,0.3637051301355367,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,16,0.4387084481364287,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,17,0.37586633142217696,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,18,0.44016384280686555,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,19,0.06974662680901715,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,20,0.13032031869211988,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,21,0.016139930981123603,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,22,0.17776543060609704,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,23,0.14631888097998166,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,24,0.19730209484869127,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,25,0.20151590278688633,0
