version,case,theta_over_pi,beta_over_pi,r,P_valid,is_selected_r
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,51,0.7020720713617916,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,52,0.7342436340345628,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,53,0.7024193837840635,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,54,0.613747217253371,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,55,0.4916318991489786,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,56,0.3670133220884169,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,57,0.2680842379335313,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,58,0.2127463881850768,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,59,0.206055242079392,0
V4,01_1d_tiny_single_gap,0.0892857142857142,0.0535714285714285,60,0.2421009575654826,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,1,0.3364184742876167,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,2,0.4410442851574644,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,3,0.6053293423072846,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,4,0.7651861804845309,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,5,0.8145714006440694,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,6,0.7112104977884095,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,7,0.5210570776227728,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,8,0.3507062411775846,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,9,0.2738698404305202,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,10,0.3253801940135783,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,11,0.4964660375054435,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,12,0.7011588897342678,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,13,0.8138861843850685,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,14,0.789212399554994,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,15,0.6905568954568462,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,16,0.5709113109947848,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,17,0.4142029581033701,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,18,0.2481888818666746,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,19,0.2056597243375348,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,20,0.3675023832171887,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,21,0.6171410545009682,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,22,0.7593319731744397,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,23,0.734596969323872,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,24,0.6230329380414683,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,25,0.4935388695458295,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,26,0.3631089793331897,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,27,0.2743179583246221,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,28,0.2978436475306801,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,29,0.4466614564977965,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,30,0.654577068819231,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,31,0.8376317460492827,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,32,0.9270110303615732,1
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,33,0.8656883157414837,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,34,0.6484631783149037,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,35,0.3752687492378193,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,36,0.2055517975574936,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,37,0.2244002841283066,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,38,0.3713954758682317,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,39,0.5204200079710414,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,40,0.6115190281405636,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,41,0.6708031301248469,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,42,0.7080256640099196,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,43,0.6618500805386289,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,44,0.4979425152357534,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,45,0.3143419097457952,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,46,0.2646447102088459,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,47,0.3851170131845558,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,48,0.5713410556240939,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,49,0.7144068439608546,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,50,0.7761879811008838,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,51,0.7426354697688089,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,52,0.6127137479193235,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,53,0.4515058782697014,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,54,0.3563916991580337,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,55,0.3478133829377932,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,56,0.3785597116577358,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,57,0.4517578181201869,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,58,0.6137986606142676,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,59,0.8097169112911639,0
V4,02_1d_main_reference,0.0982142857142857,0.1160714285714285,60,0.8743314605300139,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,1,0.3828102637205819,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,2,0.4007441836356989,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,3,0.4321296885733096,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,4,0.4795958554095618,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,5,0.5437123521695301,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,6,0.6218582458191896,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,7,0.7076955798018587,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,8,0.7917134878997469,0
